Year,School Code,School Name,School Type,School Street,School City,School State,School Zip,School County,School District Name,District Code,Grades,Reported?,K-12 Enrolled,K-12 Exempt,K-12 % Exempt,K-12 Medical Exemption,K-12 % Medical Exemption,K-12 Personal Exemption,K-12 % Personal Exemption,K-12 Religious Exemption,K-12 % Religious Exemption,K-12 Exempt for DT/Td,K-12 Exempt for Pertussis,K-12 exempt for Polio,K-12 exempt for Measles,K-12 Exempt for Mumps,K-12 Exempt for Rubella,K-12 Exempt for Hep B,K-12 Exempt for Varicella
2011,3661,Beacon Avenue Elementary School,Public School,1717 East Beacon Avenue,Montesano,WA,98563,GRAYS HARBOR,Montesano School District,14066,K-3,Yes,347,21,6.1%,0,0.0%,21,6.1%,0,0.0%,17,17,19,17,17,17,16,19
2011,3578,Beacon Hill Elementary,Public School,257 Alpha Dr,Longview,WA,98632,COWLITZ,Kelso School District,8458,K-5,Yes,562,25,4.4%,3,0.5%,21,3.7%,1,0.2%,15,16,14,14,14,14,11,17
2011,2070,Beacon Hill International School,Public School,2025 14 AV S,SEATTLE,WA,98144,KING,Seattle Public Schools,17001,K-5,Yes,455,21,4.6%,1,0.2%,19,4.2%,1,0.2%,9,9,9,7,7,7,12,5
2011,4305,Bear Creek Elementary,Public School,18101 Avondale RD NE,Woodinville,WA,98077,KING,Northshore School District,17417,K-6,Yes,485,23,4.7%,2,0.4%,21,4.3%,0,0.0%,8,8,13,9,9,9,13,6
2011,4460,Beaver Lake Middle School,Public School,25025 SE 32ND ST,ISSAQUAH,WA,98029,KING,Issaquah School District,17411,6-8,Yes,853,23,2.7%,8,0.9%,15,1.8%,0,0.0%,15,13,5,5,6,6,9,0
2011,4566,Beaver Valley School,Public School,19265 Beaver Valley Rd,Leavenworth,WA,98826,CHELAN,Cascade School District,4228,K-4,Yes,22,2,9.1%,0,0.0%,2,9.1%,0,0.0%,0,0,1,0,0,0,0,2
2011,1650,BECC,Public School,927 E FAIRHAVEN AVE,BURLINGTON,WA,98233,SKAGIT,Burlington-Edison School District,29100,K-PK,No,,,,,,,,,,,,,,,,,
2011,4229,Beezley Springs Elementary,Public School,501 C ST NW,EPHRATA,WA,98823,GRANT,Ephrata School District,13165,K-1,No,,,,,,,,,,,,,,,,,
2011,2662,Belfair Elementary,Public School,NE 22900 Hwy 3,Belfair,WA,98528,MASON,North Mason School District,23403,K-5,Yes,456,33,7.2%,1,0.2%,29,6.4%,3,0.7%,9,13,13,12,12,12,12,18
2011,3592,Bell Elementary,Public School,11212 NE 112TH,Kirkland,WA,98033,KING,Lake Washington School District,17414,K-6,Yes,391,30,7.7%,1,0.3%,28,7.2%,1,0.3%,21,22,17,22,22,22,14,19
2011,8132,Bellarmine Preparatory School,Private School,2300 S Washington St,Tacoma,WA,98405,PIERCE,Tacoma School District,27010,9-12,Yes,1018,13,1.3%,1,0.1%,12,1.2%,0,0.0%,12,12,13,12,12,12,13,0
2011,8292,Bellevue Children's Academy,Private School,14600 NE 24th St,Bellevue,WA,98007,KING,Bellevue School District,17405,K-5,No,,,,,,,,,,,,,,,,,
2011,801T,Bellevue Children's Academy  2nd Location,Private School,14640 NE 24th St,Bellevue,WA,98007,KING,Bellevue School District,17405,6-8,No,,,,,,,,,,,,,,,,,
2011,8875,Bellevue Christian Mack Elementary,Private School,18250 168th Pl NE,Woodinville,WA,98072,KING,Northshore School District,17417,K-6,Yes,204,1,0.5%,0,0.0%,0,0.0%,1,0.5%,1,1,1,1,1,1,1,1
2011,8091,Bellevue Christian School,Private School,1601 98th Ave NE,Clyde Hill,WA,98004,KING,Bellevue School District,17405,7-12,Yes,151,2,1.3%,0,0.0%,2,1.3%,0,0.0%,2,2,1,0,0,0,0,0
2011,2701,Bellevue High School,Public School,10416 Wolverine Way,Bellevue,WA,98004,KING,Bellevue School District,17405,9-12,Yes,1375,76,5.5%,32,2.3%,40,2.9%,4,0.3%,26,26,26,29,29,29,32,33
2011,8336,Bellevue Montessori School,Private School,2411 112th Ave NE,Bellevue,WA,98004,KING,Bellevue School District,17405,K-5,No,,,,,,,,,,,,,,,,,
